,YER,PCR,GCR,ITR,XTR,MTR,YED,PCD,GCD,ITD,XTD,MTD,YFD,YIN,WIN,GON,TIN,YFN,HICP,HEX,HEG,HICPSYA,HEXSYA,HEGSYA,HEGWEI,CAN_YEN,NFN_YEN,LFN,LNN,UNN,URX,LEN,STN,LTN,COMPR,POILU,PCOMU,YWD,YWDX,YWR,YWRX,LPROD,ULC,WRN,SAX,EEN,EXR
1972Q3,826161.2956,464471.2321,148368.0734,221900.0468,124194.1338,128660.2372,0.192841039,0.193604947,0.175118457,0.19815903,0.245273144,0.240175547,0.170755098,159317.8027,82651.9905,58419.2621,18246.55008,141071.2526,23.13748044,NA,NA,NA,NA,NA,NA,NA,NA,124806.9602,122336.3081,2470.652075,0.019795788,96349.03135,4.857332855,7.582787,9.346495328,3.62,38.77565362,0.261309246,0.304593171,56.82000517,17969.7422,6.753197874,0.100043407,0.675612921,0.286713529,1.487084112,0.89282742
1972Q4,838254.8572,469163.8445,150024.4661,227176.3228,130178.6718,133047.0565,0.196359765,0.197264405,0.176537661,0.20062499,0.254056062,0.245954185,0.174157028,164599.5264,85444.98837,60542.98647,18611.55158,145987.9748,23.61343003,NA,NA,NA,NA,NA,NA,NA,NA,125169.1771,122738.9893,2430.187765,0.019415225,96953.53223,6.394842968,7.814683,9.717542715,3.62,42.7393871,0.267108229,0.313745726,57.83069898,18232.3635,6.829572752,0.101931993,0.696151963,0.294354673,1.486030889,0.903780556
1973Q1,854393.2992,478985.1937,152885.3848,231956.924,131044.8445,135484.6595,0.202608019,0.201323332,0.186578201,0.206981905,0.257911836,0.252354017,0.179749784,173106.9339,90097.74274,63479.26864,19529.92252,153577.0114,24.11007034,NA,NA,NA,NA,NA,NA,NA,NA,125486.1124,123142.2938,2343.818648,0.018677913,97459.69796,6.791362777,7.975847,10.69716557,3.78,50.92535842,0.27227239,0.317199216,59.8661197,18771.67669,6.938260389,0.105452305,0.73165555,0.290446824,1.464821312,0.865006786
1973Q2,864752.7753,483872.5161,153697.7792,232184.5199,137679.2307,139338.3546,0.207502977,0.206851747,0.188469883,0.213755302,0.260066388,0.260596636,0.184209992,179438.7754,93482.74858,65813.35288,20142.67393,159296.1015,24.69443309,NA,NA,NA,NA,NA,NA,NA,NA,126368.6443,123743.206,2625.438256,0.020776026,97972.56327,8.485433372,8.305181,11.97474115,4.09667,59.84375876,0.27623917,0.317456442,60.26206886,18941.32989,6.988284878,0.108103439,0.755457625,0.2866871,1.428774406,0.816771046
1973Q3,876627.9873,486369.7416,154281.5444,233452.6967,139661.999,144664.3417,0.213199864,0.212411907,0.195483729,0.221033689,0.273155003,0.268561654,0.189562331,186896.9674,97556.489,68619.15557,20721.3228,166175.6446,25.19593399,NA,NA,NA,NA,NA,NA,NA,NA,126591.028,124218.5346,2372.493498,0.018741403,98475.33724,10.21120004,8.601933,13.60049369,4.52667,70.83019395,0.282179512,0.320414057,60.06659823,19044.87356,7.057143207,0.111286076,0.785361777,0.28923298,1.329855906,0.76804483
1973Q4,886206.1123,491201.6592,156765.4203,234164.1382,139533.1108,146402.2691,0.217784719,0.219170645,0.201468153,0.228152844,0.286757401,0.286972194,0.193660479,193002.1492,101767.2557,69855.84478,21379.04864,171623.1005,25.85881773,NA,NA,NA,NA,NA,NA,NA,NA,126907.7681,124494.1537,2413.614366,0.01901865,98810.58576,11.08256296,8.715926,13.88139799,4.6,72.76897663,0.292488549,0.337184721,60.4237682,19178.40879,7.118455654,0.114834748,0.817446062,0.287992545,1.355045254,0.803514045
1974Q1,894980.2993,491711.3548,159242.586,233362.0535,147354.7499,145231.322,0.225167109,0.227292895,0.210328474,0.238758527,0.308430661,0.334901526,0.200705876,201520.1263,106129.2243,73498.58052,21892.3215,179627.8048,26.74256976,NA,NA,NA,NA,NA,NA,NA,NA,127048.1637,124573.9279,2474.235801,0.019474786,99036.17628,11.22694636,9.340291,30.06423849,15.5,81.21345231,0.298706484,0.361516585,59.41875807,19147.19696,7.184330739,0.118582749,0.85193769,0.284173763,1.41580845,0.866909238
1974Q2,896599.7395,496360.6683,160760.2842,227160.387,144091.4252,144838.0158,0.233058024,0.235926767,0.218466358,0.249570565,0.330182418,0.367090577,0.20742966,208959.7637,111671.4139,74309.96526,22978.38455,185981.3792,27.64146727,NA,NA,NA,NA,NA,NA,NA,NA,126966.1627,124453.8259,2512.336855,0.019787452,99143.60931,11.46548658,10.06446,27.47302194,13,84.40167272,0.31149086,0.380262196,60.13222308,19327.06383,7.20427623,0.124549907,0.897291932,0.287126162,1.390902084,0.828946612
1974Q3,902707.7469,499581.9307,162072.8734,227373.2933,148881.6476,149123.507,0.241352768,0.243344804,0.226041327,0.261113148,0.343949522,0.380662599,0.215990039,217871.0133,115996.0534,78979.82793,22895.13202,194975.8813,28.45109612,NA,NA,NA,NA,NA,NA,NA,NA,127033.1889,124329.4702,2703.718617,0.021283561,99040.88126,11.52415169,10.69789,25.23021008,11.5,81.98896538,0.322624301,0.395370708,60.08905478,19380.10118,7.260609614,0.128497904,0.932973117,0.288216381,1.392313345,0.83865368
1974Q4,888323.8175,494775.3566,163699.3914,220683.9085,144142.8866,138388.9866,0.24948667,0.251995846,0.234421442,0.269964532,0.356993643,0.390168679,0.223798069,221624.9509,121041.6208,77763.53387,22819.79618,198805.1547,29.36909215,NA,NA,NA,NA,NA,NA,NA,NA,127272.3827,123998.9155,3273.467198,0.025720169,98818.85207,10.65978015,10.58716,25.85835708,11.7,84.96176549,0.337570932,0.409222827,59.23010594,18929.1347,7.163964411,0.136258444,0.976150641,0.289578731,1.371540902,0.825004699
1975Q1,880032.8945,498025.2701,165632.6188,217553.5088,140846.7728,131993.5922,0.255956223,0.257943496,0.238977881,0.27580807,0.356140829,0.385188014,0.230504902,225249.896,124454.8197,78397.0762,22398.00012,202851.8959,29.83797825,NA,NA,NA,NA,NA,NA,0.012379133,0.015402722,127198.6709,123530.7071,3667.963735,0.028836494,98462.39249,8.813935178,9.898517,24.62541656,11.5,77.16355071,0.348191035,0.40701731,59.02218002,18757.48258,7.124001108,0.141420645,1.007480833,0.291284784,1.316578827,0.775022375
1975Q2,884576.7056,505041.7124,167725.0986,214554.7125,140654.4149,134263.3871,0.262359237,0.263948407,0.247898747,0.280683198,0.357535157,0.382370534,0.236925946,232076.8694,128691.3098,80887.86266,22497.69693,209579.1724,30.57104812,NA,NA,NA,NA,NA,NA,0.008533927,0.013055983,126819.7407,122729.6339,4090.106798,0.032251342,97879.97486,7.055312727,9.564944,23.4863524,11.4,69.45150404,0.360731343,0.411504713,59.03021151,18845.13044,7.207523378,0.145483494,1.048575684,0.291376892,1.298493937,0.770773306
1975Q3,892478.5047,511189.3834,170406.972,215369.6251,142417.4799,138308.8218,0.267690147,0.269852441,0.254350821,0.285264407,0.36131951,0.387845023,0.241864647,238907.7024,132957.9753,82901.02285,23048.70433,215858.9981,31.10108785,NA,NA,NA,NA,NA,NA,0.005169862,0.014312196,126681.6541,122532.757,4148.897089,0.032750576,97844.21167,6.382283317,9.441747,23.60388921,11.5,69.40841998,0.369767028,0.423097591,59.2535471,19014.35829,7.283591154,0.148976109,1.085081072,0.284092339,1.336598536,0.830568022
1975Q4,901909.2032,518128.113,171202.3233,218855.0409,145111.2207,142976.1083,0.273266513,0.275777447,0.260628434,0.291036776,0.36498453,0.398111702,0.246527776,246461.583,137134.5551,85211.11506,24115.91287,222345.6702,31.68116072,NA,NA,NA,NA,NA,NA,0.001404029,0.017459721,126990.7128,122488.7996,4501.913254,0.035450728,98056.32521,6.598864929,9.287379,23.45347382,11.6,67.42655324,0.380826237,0.431456509,60.00113458,19292.74613,7.36319734,0.15204918,1.11956812,0.280251816,1.342359736,0.850290753
1976Q1,916634.9419,524890.3164,172196.4639,218867.0062,150856.2753,148801.1523,0.278911762,0.282527101,0.265726047,0.298377576,0.373671082,0.408326092,0.251724435,255660.2669,141409.017,89330.39573,24920.85414,230739.4127,32.5316093,NA,NA,NA,NA,NA,NA,0.004821852,0.021988248,127109.014,122580.9022,4528.111807,0.035623845,98034.46265,7.00077374,9.430772,25.45693023,12.9,70.57168959,0.386584692,0.443767874,60.44655931,19513.31078,7.477795689,0.154269721,1.153597456,0.274512052,1.369542963,0.869432691
1976Q2,928423.0513,528623.3118,173834.2729,219542.8855,154350.9931,151652.0271,0.290475809,0.292087498,0.275115362,0.311118901,0.391669634,0.431301012,0.261923565,269684.437,148329.5328,94846.34216,26508.56198,243175.875,33.50223518,NA,NA,NA,NA,NA,NA,-0.004266717,0.014099474,127463.4547,122876.7296,4586.725097,0.035984629,98480.89285,8.567814704,10.10404,26.49115987,12.95,77.50822318,0.394432818,0.462315942,60.83248992,19778.59019,7.555727225,0.159765026,1.207140956,0.274616504,1.385667973,0.903619671
1976Q3,936238.6219,532721.0691,175781.0782,218999.3035,156848.8567,153760.6298,0.298577123,0.299833879,0.284224736,0.320874659,0.405512508,0.448672826,0.268921871,279539.4343,155044.3096,96730.73184,27764.39288,251775.0415,34.05090865,NA,NA,NA,NA,NA,NA,0.006841908,0.026102314,127739.2359,123168.1715,4571.064429,0.035784341,98920.34529,9.348489961,10.32561,27.15886484,13.15,80.61027547,0.400903395,0.475107084,61.35204223,19944.81124,7.601303249,0.165603411,1.258801749,0.276618562,1.385471356,0.907726612
1976Q4,951276.0939,538687.0056,176996.7791,224284.013,161464.4734,157063.6015,0.306253294,0.307904105,0.292220625,0.330285599,0.416367314,0.46259025,0.275957864,291331.4374,160644.7653,101867.3536,28819.31852,262512.1189,34.9688607,NA,NA,NA,NA,NA,NA,0.001835803,0.020465998,127886.1698,123130.554,4755.615795,0.037186318,99176.94078,9.205677893,10.43546,27.6992602,13.56,80.86877983,0.410991875,0.481354844,62.23053472,20216.73486,7.725751756,0.168872913,1.304670206,0.268697893,1.342085205,0.897869754
1977Q1,955197.5925,539920.112,177556.5049,226970.6104,161510.6305,153510.5663,0.313507696,0.315742242,0.299264053,0.337666424,0.424594362,0.471404679,0.282909762,299461.7964,165219.0281,105015.6956,29227.07274,270234.7237,35.912474,NA,NA,NA,NA,NA,NA,0.009438758,0.022091779,128065.4772,123247.0995,4818.377684,0.037624329,99414.85903,10.21443183,10.31093,30.20075065,14.45,91.25203819,0.418075601,0.492203054,62.51650322,20227.54736,7.750264275,0.17296843,1.340551045,0.270888531,1.354595113,0.89315357
1977Q2,956484.6001,546948.3778,178368.9527,223799.0571,165309.0079,155109.3633,0.323190227,0.324388033,0.310129118,0.346436992,0.432055574,0.480782627,0.291777624,309126.4746,172109.694,106971.1103,30045.67033,279080.8043,36.82994628,NA,NA,NA,NA,NA,NA,0.010394565,0.020588479,128288.3829,123263.1224,5025.260471,0.039171594,99367.35891,9.371813595,10.22306,30.57372881,14.45,94.09558612,0.428216769,0.502057282,62.97726135,20307.14667,7.759697963,0.179939848,1.396278876,0.266911806,1.353863841,0.886369796
1977Q3,957236.243,551310.9606,180696.6459,224980.3931,166633.1938,157242.4883,0.330186426,0.332352355,0.317763991,0.354450712,0.438154706,0.484332351,0.297636321,316066.4144,176347.3272,108560.9469,31158.14033,284908.274,37.57627957,NA,NA,NA,NA,NA,NA,0.018185699,0.028140904,128150.0446,122929.9854,5220.059235,0.040733963,99526.80972,8.998484223,10.0849,28.86262755,14.28,82.93681469,0.435423569,0.51054012,63.63764815,20376.12276,7.786840943,0.184225502,1.43453468,0.264223214,1.359522622,0.874754955
1977Q4,968686.0735,556834.2744,183582.5158,227760.2461,171854.8884,157746.7738,0.337578278,0.338800419,0.325124327,0.363803891,0.446651117,0.493203753,0.305171856,327007.3764,181473.1099,114142.6172,31391.64925,295615.7271,38.20132711,NA,NA,NA,NA,NA,NA,0.014397455,0.017584304,128260.5358,123015.2328,5245.302992,0.040895689,99640.11883,9.12986131,9.980953,27.90561276,14.05,78.11140002,0.444251137,0.52221365,64.13337704,20514.60363,7.874521321,0.187339443,1.475208442,0.266375407,1.369948577,0.851982304
1978Q1,974915.0175,558539.6884,184639.7827,228480.6485,171111.7805,154488.9489,0.345584467,0.344561897,0.334114941,0.372382996,0.453068742,0.494895509,0.312683288,336915.4865,187532.0467,117307.5861,32075.85361,304839.6329,38.87954023,NA,NA,NA,NA,NA,NA,0.020167342,0.01699292,128454.4215,123195.3242,5259.097248,0.040941349,99682.5553,8.0570853,9.716788,27.77828205,14,77.63747536,0.452925276,0.528694727,64.42203277,20591.01331,7.913571586,0.192357327,1.522233477,0.269669416,1.356452655,0.808144601
1978Q2,986038.7704,564664.3492,186194.9514,230942.0991,175495.5898,159555.3323,0.353931497,0.351928604,0.342109889,0.378809355,0.461286803,0.498492094,0.320579999,348990.1776,192437.5943,123666.7136,32885.86976,316104.3078,39.69925807,NA,NA,NA,NA,NA,NA,0.016205509,0.012146002,128717.0339,123299.2744,5417.759481,0.042090462,99814.78195,7.909355931,9.575315,27.7916955,13.8933,78.62840873,0.462019656,0.538614892,65.6957083,20921.42205,7.997117378,0.1951623,1.56073582,0.266455197,1.355950379,0.80934809
1978Q3,990656.8267,568884.707,188486.9528,231264.71,179089.1575,164329.4293,0.361896952,0.359973864,0.349634274,0.388837116,0.464321055,0.49920944,0.327949403,358515.6861,198387.2075,126498.1076,33630.371,324885.3151,40.33424667,NA,NA,NA,NA,NA,NA,0.015648682,0.012524512,129025.8092,123469.9386,5555.870636,0.04306015,100067.687,9.172121063,9.576661,27.99319474,13.98,79.31775369,0.469103811,0.548098693,66.22349908,21049.37357,8.023465776,0.200258255,1.606765256,0.268998819,1.381386763,0.780292114
1978Q4,1002454.633,575291.3847,190260.1198,233340.8372,180873.982,169864.4597,0.369219976,0.367231404,0.357558631,0.399981491,0.472916655,0.505087231,0.335408508,370126.2753,204229.6131,132002.1998,33894.46242,336231.8129,40.94564698,NA,NA,NA,NA,NA,NA,0.018631747,0.019328944,129326.1734,123681.8414,5644.332024,0.043644159,100341.5438,9.136764561,9.771184,30.23036852,15.1667,85.06912365,0.475856766,0.550540798,66.89424876,21301.02246,8.105107602,0.203729532,1.651249778,0.266580629,1.339631988,0.745242923
1979Q1,1007574.703,579272.3852,191898.4568,229917.9623,185638.8781,170756.1303,0.37743851,0.375534417,0.367368161,0.40903233,0.483184694,0.521854628,0.342578728,380297.4943,211114.8819,134058.7784,35123.83393,345173.6603,41.89655266,NA,NA,NA,NA,NA,NA,0.027894447,0.026348321,129613.7284,123966.3477,5647.380621,0.043570852,100629.7446,7.697024631,9.729662,37.82435886,21.4,88.88086614,0.485543851,0.558410198,66.95219731,21334.27605,8.12780824,0.209527771,1.703001546,0.262755955,1.317194907,0.738499889
1979Q2,1023715.83,590296.1088,193588.0981,238968.6513,186556.5061,177381.565,0.386496583,0.384865939,0.37717724,0.420038234,0.501816563,0.543760272,0.351106198,395662.6701,217138.8073,142294.1652,36229.69758,359432.9725,42.85342138,NA,NA,NA,NA,NA,NA,0.018674166,0.025841644,130219.3069,124366.5595,5852.747397,0.044945312,101050.7486,9.350466897,10.17586,48.71107069,30.9667,96.10075486,0.495245165,0.577427054,68.33160693,21800.79815,8.231439657,0.212108479,1.745958144,0.254619888,1.326691633,0.750670533
1979Q3,1028938.108,588095.4557,194955.0977,240490.6866,191637.4946,180937.2141,0.397743756,0.39672085,0.39049525,0.433643545,0.518370624,0.572573661,0.360287999,409253.7072,226317.224,144396.8285,38539.65473,370714.0525,43.88003945,NA,NA,NA,NA,NA,NA,0.010453253,0.020863996,130880.4986,124845.377,6035.121555,0.046111694,101551.546,11.02208014,10.59957,53.91822239,35.75,99.86765333,0.51303052,0.594086478,68.10193785,21837.48927,8.241699711,0.219952223,1.812780172,0.25494063,1.309740616,0.719858782
1979Q4,1038711.194,594092.3874,195937.1458,244267.5599,192590.2678,183883.6121,0.408422911,0.408864651,0.401024245,0.44751374,0.535479064,0.602112154,0.370590333,424233.4493,234425.9447,150510.3826,39297.12203,384936.3273,44.98596313,NA,NA,NA,NA,NA,NA,0.009400784,0.027293059,131138.2218,125185.8459,5952.375977,0.045390092,101881.8524,12.69369239,11.13474,58.21438358,40.3333,100.94391,0.52626926,0.602127919,68.56186322,22069.90832,8.297353323,0.225689245,1.872623403,0.250121108,1.257665268,0.71193665
1980Q1,1048514.733,599498.4222,197704.9298,246865.0922,198776.2157,188799.7713,0.420395921,0.421719508,0.412351508,0.467180965,0.555066565,0.639000999,0.380649489,440791.3163,243128.8754,155987.7222,41674.71872,399116.5976,46.53423509,NA,NA,NA,NA,NA,NA,0.00284753,0.026235493,131307.9135,125289.6196,6018.293898,0.045833444,102185.0395,12.73510689,12.09084,58.33167168,38.9167,107.042698,0.538494444,0.621001495,69.27272696,22295.78927,8.368727881,0.231879313,1.940534868,0.240630207,1.258049377,0.708656271
1980Q2,1043591.365,595831.8772,199996.2335,242719.7561,190103.2773,183719.9319,0.431560196,0.433441514,0.42739629,0.482022153,0.57023129,0.667663451,0.391158837,450372.494,249259.9815,158950.003,42162.50947,408209.9845,47.74179328,NA,NA,NA,NA,NA,NA,-0.003065363,0.028597865,131768.1354,125532.7388,6235.396634,0.047320975,102098.8767,13.23709031,12.314,56.57142154,38.2167,101.8856346,0.553951105,0.641479493,68.41342718,22178.6395,8.313300379,0.23884826,1.985617329,0.245928004,1.292419409,0.718867284
1980Q3,1042996.467,600146.9308,201306.4083,241779.7487,187911.2285,185140.6812,0.441759555,0.444819407,0.440179841,0.494596519,0.580451641,0.676479305,0.400419668,460753.6549,255937.1863,161699.113,43117.35561,417636.2993,48.83946706,NA,NA,NA,NA,NA,NA,-0.00591631,0.02917936,132155.8115,125599.0891,6556.722444,0.049613576,102200.4846,12.23902924,12.24714,53.83617418,34.8,103.5897078,0.569016083,0.65491543,68.45036283,22185.68284,8.304172223,0.245386437,2.037731231,0.242347852,1.300953416,0.702625956
1980Q4,1043486.392,599816.9952,202082.7726,239649.6685,189376.9678,181844.4482,0.451196348,0.45739041,0.454094271,0.506014294,0.595143014,0.700518504,0.408921589,470817.2489,262785.3135,163918.8001,44113.13528,426704.1136,50.03874337,NA,NA,NA,NA,NA,NA,-0.001635453,0.029542295,132347.967,125580.7118,6767.255198,0.051132294,102073.5599,12.66329926,12.83665,58.06397254,39.6333,102.9618914,0.583994339,0.684205708,68.63843914,22095.36693,8.309288722,0.251833963,2.092561109,0.244619057,1.387083532,0.745127976
1981Q1,1044493.229,599390.4327,207043.2549,237278.2855,192887.25,181854.9542,0.461559284,0.469491662,0.466489831,0.520941473,0.617930371,0.743592261,0.419116851,482095.5467,268393.7223,169370.9909,44330.83348,437764.7132,51.67318653,NA,NA,NA,NA,NA,NA,-0.010322709,0.022938429,132566.7415,125520.0981,7046.643421,0.05315544,101988.5005,13.43288204,13.36201,56.48839558,39.1167,98.02904812,0.596151447,0.724603801,69.0282948,22135.58322,8.3213226,0.256960711,2.138252968,0.246461227,1.483104413,0.811117294
1981Q2,1047622.062,598695.2873,205255.2887,236957.2649,201188.1895,181914.5104,0.475471072,0.484097034,0.480842217,0.537155868,0.641981233,0.78091033,0.431925593,498113.9846,278210.7994,174283.9809,45619.20427,452494.7803,53.05463735,NA,NA,NA,NA,NA,NA,-0.002715131,0.023182312,132894.6307,125252.8832,7641.747456,0.057502304,101784.0443,15.50787529,14.52217,51.5254562,35.21,91.21275567,0.604060706,0.762100089,69.03574782,22071.63454,8.364055461,0.26556409,2.221192776,0.248129639,1.547533636,0.896791589
1981Q3,1050512.436,600700.8214,206708.0248,235290.889,209298.6101,182559.1969,0.489109779,0.498141391,0.495700886,0.550166891,0.659698168,0.810364847,0.443923773,513815.9056,287235.4089,179112.0351,47468.46149,466347.4441,54.39789814,NA,NA,NA,NA,NA,NA,0.000379519,0.01958026,133159.1848,125051.732,8107.452801,0.060885419,101594.9777,16.13341518,15.22463,50.58047679,35.59,85.69694006,0.61316253,0.78869515,69.79946888,22132.0863,8.400622833,0.273424092,2.296932671,0.246262724,1.570685888,0.968121442
1981Q4,1052977.406,603759.3809,207326.0113,229994.3779,206836.9065,182336.808,0.502649216,0.513975473,0.507846542,0.563326935,0.672050537,0.816788473,0.456828674,529278.2681,295584.2482,185446.0241,48247.99576,481030.2723,55.83196383,NA,NA,NA,NA,NA,NA,0.000869156,0.019622522,133524.2593,124878.5985,8645.660847,0.064749738,101444.8491,15.42630917,15.10394,50.93999724,36.7867,83.0062983,0.625355729,0.794379703,69.53353958,22115.87287,8.432008521,0.280712811,2.366972818,0.243492897,1.527368402,0.918060968
1982Q1,1057329.191,606291.2597,210756.0524,230115.4683,207295.4257,186691.6778,0.514625798,0.523907591,0.517052498,0.576653477,0.693701576,0.825995568,0.468770268,544128.8783,302048.7349,193595.7529,48484.39044,495644.4878,57.21386043,NA,NA,NA,NA,NA,NA,-0.003913906,0.015209018,133743.9594,124791.891,8952.068394,0.066934375,101494.8523,14.33131917,14.78443,47.11849148,32.2567,83.18567442,0.635141886,0.822206176,69.36251439,22201.87406,8.472739554,0.285671423,2.420419568,0.241804597,1.566365826,0.964949871
1982Q2,1058751.317,604487.8011,210642.463,229924.9316,204965.7228,185442.7982,0.528999492,0.53798154,0.527067791,0.589677489,0.7057311,0.83536217,0.48059085,560078.9095,309011.6593,199814.5358,51252.71452,508826.195,58.54232458,NA,NA,NA,NA,NA,NA,0.005282832,0.023603846,133728.8003,124621.4574,9107.342848,0.068103077,101329.5776,14.40004122,14.51596,47.93520653,34.3,79.1945558,0.640810672,0.836888856,69.89884984,22317.74206,8.495738527,0.29186425,2.479602354,0.241050875,1.576433938,0.99814818
1982Q3,1053104.168,601173.7654,211404.344,227686.1823,202272.4853,183555.0642,0.540455795,0.551185228,0.539469823,0.600902013,0.721266746,0.866504518,0.490825778,569156.25,315226.4419,201664.2304,52265.57771,516890.6723,59.670917,NA,NA,NA,NA,NA,NA,-0.001640645,0.021479324,133806.3125,124286.4752,9519.837346,0.071146399,100982.6603,13.34953728,14.26804,46.22131716,33.6,74.57562078,0.650190967,0.860750971,69.59442268,22251.28192,8.473200053,0.299330732,2.536289177,0.237872697,1.609636192,1.051921541
